product_name,brand,category,product_rating,product_id
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,,1
FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Furniture,,2
AW Bellies,AW,Footwear,,3
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,,4
Sicons All Purpose Arnica Dog Shampoo,Sicons,Pet Supplies,,5
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,Eternal Gandhi,Eternal Gandhi Super Series Crystal Paper Weight...,,6
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,,7
FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Furniture,,8
"dilli bazaaar Bellies, Corporate Casuals, Casuals",dilli bazaaar,Footwear,,9
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,,10
Ladela Bellies,Ladela,Footwear,5.0,11
Carrel Printed Women's,Carrel,Clothing,,12
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,,13
Freelance Vacuum Bottles 350 ml Bottle,Freelance,Pens & Stationery,,14
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,,15
FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Furniture,,16
Style Foot Bellies,Style Foot,Footwear,,17
Carrel Printed Women's,Carrel,Clothing,,18
FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Furniture,,19
Sicons Conditioning Conditoner Dog Shampoo,Sicons,Pet Supplies,,20
dongli Printed Boy's Round Neck T-Shirt,dongli,Clothing,,21
SWAGGA Women Clogs,SWAGGA,Footwear,,22
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,Kennel,Pet Supplies,,23
Glus Wedding Lingerie Set,unknown,Clothing,,24
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,unknown,Sports & Fitness,,25
Bulaky vanity case Jewellery Vanity Case,unknown,Beauty and Personal Care,3.0,26
FDT Women's Leggings,unknown,Clothing,,27
Madcaps C38GR30 Men's Cargos,unknown,Clothing,,28
